#: table_doi: 10.17182/hepdata.86210.v1/t4
#: name: Table 4
#: description: Transverse momentum spectra of charged particles in pp collisions.
#: data_file: Fig3_pp.yaml
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword cmenergies: 5020 and 2760
#: ETARAP			-0.8 - 0.8
#: RE			P P --> CHARGED X
#: SQRT(S)			2760.0 GeV
#PT [GEV]	PT [GEV] LOW	PT [GEV] HIGH	(1/(Nevt))*D2(N)/DETARAP/DPT [C/GEV]	stat +	stat -	sys +	sys -
0.175	0.15	0.2	5.855309	0.0023383	-0.0023383	0.35933	-0.35933
0.225	0.2	0.25	6.161787	0.0016292	-0.0016292	0.28169	-0.28169
0.275	0.25	0.3	5.941204	0.0014963	-0.0014963	0.24747	-0.24747
0.32499999999999996	0.3	0.35	5.472106	0.0013804	-0.0013804	0.22568	-0.22568
0.375	0.35	0.4	4.902047	0.001272	-0.001272	0.19851	-0.19851
0.42500000000000004	0.4	0.45	4.341093	0.0011776	-0.0011776	0.16776	-0.16776
0.475	0.45	0.5	3.803976	0.0011129	-0.0011129	0.1459	-0.1459
0.525	0.5	0.55	3.318295	0.001064	-0.001064	0.1221	-0.1221
0.575	0.55	0.6	2.889114	0.0010093	-0.0010093	0.10699	-0.10699
0.625	0.6	0.65	2.513177	0.00095977	-0.00095977	0.088784	-0.088784
0.675	0.65	0.7	2.199451	0.00092082	-0.00092082	0.076159	-0.076159
0.725	0.7	0.75	1.923916	0.00087438	-0.00087438	0.07034	-0.07034
0.775	0.75	0.8	1.688873	0.00083202	-0.00083202	0.061802	-0.061802
0.825	0.8	0.85	1.482172	0.00079057	-0.00079057	0.054799	-0.054799
0.875	0.85	0.9	1.302498	0.0007507	-0.0007507	0.051678	-0.051678
0.925	0.9	0.95	1.147358	0.00071343	-0.00071343	0.049492	-0.049492
0.975	0.95	1.0	1.011571	0.00066941	-0.00066941	0.039918	-0.039918
1.05	1.0	1.1	0.839296	0.00042808	-0.00042808	0.033583	-0.033583
1.15	1.1	1.2	0.661573	0.00037594	-0.00037594	0.026697	-0.026697
1.2999999999999998	1.2	1.4	0.472028	0.00021505	-0.00021505	0.020077	-0.020077
1.5	1.4	1.6	0.304828	0.00017083	-0.00017083	0.012913	-0.012913
1.7000000000000002	1.6	1.8	0.201354	0.00013744	-0.00013744	0.0084365	-0.0084365
1.9	1.8	2.0	0.135053	0.00011176	-0.00011176	0.0056456	-0.0056456
2.1	2.0	2.2	0.09222	9.3989e-05	-9.3989e-05	0.0039943	-0.0039943
2.3	2.2	2.4	0.064082	7.7978e-05	-7.7978e-05	0.0026389	-0.0026389
2.5	2.4	2.6	0.045144	6.5084e-05	-6.5084e-05	0.0017204	-0.0017204
2.7	2.6	2.8	0.032037	5.4474e-05	-5.4474e-05	0.0011724	-0.0011724
2.9	2.8	3.0	0.023205	4.6061e-05	-4.6061e-05	0.00085875	-0.00085875
3.1	3.0	3.2	0.016952	3.9369e-05	-3.9369e-05	0.00067205	-0.00067205
3.4000000000000004	3.2	3.6	0.010973	2.1667e-05	-2.1667e-05	0.00041451	-0.00041451
3.8	3.6	4.0	0.00628	1.6246e-05	-1.6246e-05	0.00025932	-0.00025932
4.5	4.0	5.0	0.002753	6.7453e-06	-6.7453e-06	0.00010697	-0.00010697
5.5	5.0	6.0	0.000917	3.841e-06	-3.841e-06	3.3223e-05	-3.3223e-05
7.0	6.0	8.0	0.000269	1.4454e-06	-1.4454e-06	1.0133e-05	-1.0133e-05
9.0	8.0	10.0	6.516448e-05	7.0536e-07	-7.0536e-07	2.3255e-06	-2.3255e-06
11.5	10.0	13.0	1.805502e-05	3.0114e-07	-3.0114e-07	6.344e-07	-6.344e-07
16.5	13.0	20.0	2.92986e-06	7.8607e-08	-7.8607e-08	1.2053e-07	-1.2053e-07
25.0	20.0	30.0	3.1234e-07	2.145e-08	-2.145e-08	1.2246e-08	-1.2246e-08
40.0	30.0	50.0	2.247345e-08	4.0407e-09	-4.0407e-09	1.1461e-09	-1.1461e-09

