#: table_doi: 10.17182/hepdata.86210.v1/t4
#: name: Table 4
#: description: Transverse momentum spectra of charged particles in pp collisions.
#: data_file: Fig3_pp.yaml
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword cmenergies: 5020 and 2760
#: ETARAP			-0.8 - 0.8
#: RE			P P --> CHARGED X
#: SQRT(S)			5020.0 GeV
#PT [GEV]	PT [GEV] LOW	PT [GEV] HIGH	(1/(Nevt))*D2(N)/DETARAP/DPT [C/GEV]	stat +	stat -	sys +	sys -
0.175	0.15	0.2	6.6856	0.0013961	-0.0013961	0.2281	-0.2281
0.225	0.2	0.25	6.920827	0.00098214	-0.00098214	0.17233	-0.17233
0.275	0.25	0.3	6.55419	0.00090605	-0.00090605	0.14292	-0.14292
0.32499999999999996	0.3	0.35	6.014029	0.00084158	-0.00084158	0.1233	-0.1233
0.375	0.35	0.4	5.40536	0.00078035	-0.00078035	0.095898	-0.095898
0.42500000000000004	0.4	0.45	4.791385	0.00072507	-0.00072507	0.078954	-0.078954
0.475	0.45	0.5	4.211083	0.00068738	-0.00068738	0.069676	-0.069676
0.525	0.5	0.55	3.690742	0.00066019	-0.00066019	0.059732	-0.059732
0.575	0.55	0.6	3.241207	0.00063023	-0.00063023	0.047709	-0.047709
0.625	0.6	0.65	2.842274	0.0006028	-0.0006028	0.04056	-0.04056
0.675	0.65	0.7	2.498638	0.00057933	-0.00057933	0.034019	-0.034019
0.725	0.7	0.75	2.200227	0.00055274	-0.00055274	0.029291	-0.029291
0.775	0.75	0.8	1.940522	0.00052754	-0.00052754	0.026779	-0.026779
0.825	0.8	0.85	1.716767	0.00050377	-0.00050377	0.023579	-0.023579
0.875	0.85	0.9	1.52176	0.000481	-0.000481	0.021255	-0.021255
0.925	0.9	0.95	1.353109	0.00045949	-0.00045949	0.019487	-0.019487
0.975	0.95	1.0	1.202952	0.00043468	-0.00043468	0.015325	-0.015325
1.05	1.0	1.1	1.016379	0.00028078	-0.00028078	0.013059	-0.013059
1.15	1.1	1.2	0.813642	0.0002485	-0.0002485	0.010802	-0.010802
1.2999999999999998	1.2	1.4	0.592325	0.00014603	-0.00014603	0.0086435	-0.0086435
1.5	1.4	1.6	0.393316	0.00011787	-0.00011787	0.0067363	-0.0067363
1.7000000000000002	1.6	1.8	0.265815	9.599e-05	-9.599e-05	0.0050997	-0.0050997
1.9	1.8	2.0	0.182902	7.9124e-05	-7.9124e-05	0.0037311	-0.0037311
2.1	2.0	2.2	0.12723	6.6345e-05	-6.6345e-05	0.0026957	-0.0026957
2.3	2.2	2.4	0.089986	5.5454e-05	-5.5454e-05	0.0019072	-0.0019072
2.5	2.4	2.6	0.064321	4.6569e-05	-4.6569e-05	0.001394	-0.001394
2.7	2.6	2.8	0.046729	3.9489e-05	-3.9489e-05	0.0010267	-0.0010267
2.9	2.8	3.0	0.034274	3.3655e-05	-3.3655e-05	0.00074484	-0.00074484
3.1	3.0	3.2	0.025478	2.8895e-05	-2.8895e-05	0.00056138	-0.00056138
3.4000000000000004	3.2	3.6	0.01677	1.628e-05	-1.628e-05	0.00036589	-0.00036589
3.8	3.6	4.0	0.009894	1.2414e-05	-1.2414e-05	0.00020775	-0.00020775
4.5	4.0	5.0	0.004518	5.2617e-06	-5.2617e-06	9.3533e-05	-9.3533e-05
5.5	5.0	6.0	0.001591	3.0762e-06	-3.0762e-06	2.9181e-05	-2.9181e-05
7.0	6.0	8.0	0.00049	1.1954e-06	-1.1954e-06	8.3656e-06	-8.3656e-06
9.0	8.0	10.0	0.0001267146	6.042e-07	-6.042e-07	2.4316e-06	-2.4316e-06
11.5	10.0	13.0	3.64333e-05	2.6311e-07	-2.6311e-07	8.3824e-07	-8.3824e-07
16.5	13.0	20.0	6.662181e-06	7.335e-08	-7.335e-08	2.3277e-07	-2.3277e-07
25.0	20.0	30.0	7.266232e-07	2.0353e-08	-2.0353e-08	3.0203e-08	-3.0203e-08
40.0	30.0	50.0	6.706242e-08	4.348e-09	-4.348e-09	2.8681e-09	-2.8681e-09
