#: table_doi: 10.17182/hepdata.61787.v1/t1
#: name: Table 1
#: description: The normalized differential primary charged particle cross sections measured at 0.9	 2.76 and 7 TeV centre-of- mass energies.
#Additional systematic error for 0.9 TeV data: +5.1% -4.0%.
#Additional systematic error for 2.76 TeV data: +1.9% -1.9%.
#Additional systematic error for 7.0 TeV data: +3.6% -3.6%.

#: data_file: Table1.yaml
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2SIG/DETARAP/DPT
#: keyword phrases: Inclusive | Double Differential Cross Section | Transverse Momentum Dependence | Proton-Proton Scattering
#: keyword cmenergies: 900.0-7000.0
#: ETARAP			-0.8-0.8
#: RE			P P --> CHARGED X
#: SQRT(S) [GeV]			7000.0
#PT [GEV]	PT [GEV] LOW	PT [GEV] HIGH	(1/(2*PI*PT))*D2(SIG)/DETARAP/DPT [MB/GEV**2]	stat +	stat -	sys +	sys -
0.175	0.15	0.2	490.7	0.1	-0.1	37.2	-37.2
0.225	0.2	0.25	389.4	0.1	-0.1	25.6	-25.6
0.275	0.25	0.3	301.1	0.1	-0.1	19.8	-19.8
0.32499999999999996	0.3	0.35	232.3	0.01	-0.01	15.4	-15.4
0.375	0.35	0.4	179.8	0.01	-0.01	12.4	-12.4
0.42500000000000004	0.4	0.45	140.3	0.01	-0.01	10.2	-10.2
0.475	0.45	0.5	110.3	0.02	-0.02	8.1	-8.1
0.525	0.5	0.55	87.47	0.02	-0.02	6.39	-6.39
0.575	0.55	0.6	70.0	0.01	-0.01	5.11	-5.11
0.625	0.6	0.65	56.52	0.01	-0.01	4.13	-4.13
0.675	0.65	0.7	46.04	0.01	-0.01	3.36	-3.36
0.725	0.7	0.75	37.71	0.01	-0.01	2.75	-2.75
0.775	0.75	0.8	31.06	0.01	-0.01	2.27	-2.27
0.825	0.8	0.85	25.77	0.01	-0.01	1.88	-1.88
0.875	0.85	0.9	21.55	0.01	-0.01	1.57	-1.57
0.925	0.9	0.95	18.13	0.01	-0.01	1.32	-1.32
0.975	0.95	1.0	15.33	0.01	-0.01	1.12	-1.12
1.05	1.0	1.1	11.94	0.005	-0.005	0.87	-0.87
1.15	1.1	1.2	8.722	0.002	-0.002	0.637	-0.637
1.25	1.2	1.3	6.463	0.002	-0.002	0.472	-0.472
1.35	1.3	1.4	4.84	0.002	-0.002	0.354	-0.354
1.45	1.4	1.5	3.65	0.001	-0.001	0.267	-0.267
1.55	1.5	1.6	2.775	0.001	-0.001	0.203	-0.203
1.65	1.6	1.7	2.131	0.001	-0.001	0.156	-0.156
1.75	1.7	1.8	1.662	0.001	-0.001	0.121	-0.121
1.85	1.8	1.9	1.315	0.001	-0.001	0.096	-0.096
1.95	1.9	2.0	1.045	0.001	-0.001	0.076	-0.076
2.1	2.0	2.2	0.7477	0.0004	-0.0004	0.0546	-0.0546
2.3	2.2	2.4	0.4863	0.0003	-0.0003	0.0355	-0.0355
2.5	2.4	2.6	0.3226	0.0002	-0.0002	0.0236	-0.0236
2.7	2.6	2.8	0.218	0.0002	-0.0002	0.0159	-0.0159
2.9	2.8	3.0	0.1506	0.0002	-0.0002	0.011	-0.011
3.1	3.0	3.2	0.1058	0.0001	-0.0001	0.0077	-0.0077
3.3	3.2	3.4	0.07536	9e-05	-9e-05	0.0055	-0.0055
3.5	3.4	3.6	0.05444	7e-05	-7e-05	0.00398	-0.00398
3.7	3.6	3.8	0.03993	6e-05	-6e-05	0.00292	-0.00292
3.9	3.8	4.0	0.02952	5e-05	-5e-05	0.00216	-0.00216
4.25	4.0	4.5	0.01822	3e-05	-3e-05	0.00133	-0.00133
4.75	4.5	5.0	0.009507	1.7e-05	-1.7e-05	0.000694	-0.000694
5.25	5.0	5.5	0.005201	1.2e-05	-1.2e-05	0.00038	-0.00038
5.75	5.5	6.0	0.003045	8e-06	-8e-06	0.000222	-0.000222
6.25	6.0	6.5	0.001835	6e-06	-6e-06	0.000134	-0.000134
6.75	6.5	7.0	0.001159	5e-06	-5e-06	8.5e-05	-8.5e-05
7.5	7.0	8.0	0.0006256	2.3e-06	-2.3e-06	4.57e-05	-4.57e-05
8.5	8.0	9.0	0.0002931	1.5e-06	-1.5e-06	2.14e-05	-2.14e-05
9.5	9.0	10.0	0.0001483	1e-06	-1e-06	1.08e-05	-1.08e-05
10.5	10.0	11.0	8.094e-05	7.1e-07	-7.1e-07	5.91e-06	-5.91e-06
11.5	11.0	12.0	4.742e-05	5.2e-07	-5.2e-07	3.46e-06	-3.46e-06
12.5	12.0	13.0	2.804e-05	3.8e-07	-3.8e-07	1.99e-06	-1.99e-06
