#: table_doi: 10.17182/hepdata.58980.v1/t1
#: name: Table 1
#: description: Invariant charged particle differential yields for |eta|<1.0 for P P collisions.

#: data_file: Table1.yaml
#: keyword reactions: P P --> CHARGED X
#: keyword observables: E*D3N/DP**3
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 2760.0
#: ABS(ETARAP)			< 1.0
#: RE			P P --> CHARGED X
#: SQRT(S) [GeV]			2760.0
#PT [GEV]	PT [GEV] LOW	PT [GEV] HIGH	E*D3(N)/DP**3 [GEV**-2]	stat +	stat -	sys +	sys -
0.525	0.45	0.6	1.2569	0.0002	-0.0002	0.0589	-0.0589
0.675	0.6	0.75	0.6522	0.0001	-0.0001	0.0306	-0.0306
0.825	0.75	0.9	0.3548	0.0001	-0.0001	0.0166	-0.0166
0.9750000000000001	0.9	1.05	0.20427	7e-05	-7e-05	0.00958	-0.00958
1.125	1.05	1.2	0.12288	5e-05	-5e-05	0.00576	-0.00576
1.35	1.2	1.5	0.06077	2e-05	-2e-05	0.00285	-0.00285
1.65	1.5	1.8	0.02604	1e-05	-1e-05	0.00122	-0.00122
1.9500000000000002	1.8	2.1	0.01205	8e-06	-8e-06	0.000565	-0.000565
2.25	2.1	2.4	0.005967	5e-06	-5e-06	0.00028	-0.00028
3.0	2.4	3.6	0.0012795	1e-06	-1e-06	6e-05	-6e-05
4.2	3.6	4.8	0.00017414	3.1e-07	-3.1e-07	8.17e-06	-8.17e-06
5.4	4.8	6.0	3.694e-05	1.3e-07	-1.3e-07	1.73e-06	-1.73e-06
6.6	6.0	7.2	9.993e-06	6.1e-08	-6.1e-08	4.69e-07	-4.69e-07
9.0	7.2	10.8	1.3496e-06	9.8e-09	-9.8e-09	6.34e-08	-6.34e-08
12.600000000000001	10.8	14.4	1.4955e-07	2.73e-09	-2.73e-09	7.04e-09	-7.04e-09
18.0	14.4	21.6	1.4511e-08	4.02e-10	-4.02e-10	6.85e-10	-6.85e-10
25.200000000000003	21.6	28.8	1.7416e-09	9.33e-11	-9.33e-11	8.27e-11	-8.27e-11
33.6	28.8	38.4	2.796e-10	1.92e-11	-1.92e-11	1.43e-11	-1.43e-11
43.2	38.4	48.0	4.739e-11	1.44e-12	-1.44e-12	3.26e-12	-3.26e-12
57.6	48.0	67.2	6.798e-12	2.24e-13	-2.24e-13	5.54e-13	-5.54e-13
76.80000000000001	67.2	86.4	1.0808e-12	7.4e-14	-7.4e-14	9.02e-14	-9.02e-14
99.30000000000001	86.4	112.2	1.868e-13	2.45e-14	-2.45e-14	1.59e-14	-1.59e-14

