#: table_doi: 10.17182/hepdata.57523.v1/t2
#: name: Table 2
#: description: The invariant charged particle differential yield at 7 TeV for |eta|<2.4.

#: data_file: Table2.yaml
#: keyword reactions: P P --> CHARGED X
#: keyword observables: E*D3N/DP**3
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 7000.0
#: ETARAP			-2.4-2.4
#: RE			P P --> CHARGED X
#: SQRT(S) [GeV]			7000.0
#PT [GEV]	PT [GEV] LOW	PT [GEV] HIGH	E*D3(N)/DP**3 [GEV**-2]	stat +	stat -	sys +	sys -
0.5	0.4	0.6	1.68022	0.00019	-0.00019	0.07961	-0.07961
0.7	0.6	0.8	0.71916	0.0001	-0.0001	0.03401	-0.03401
0.9	0.8	1.0	0.33621	6e-05	-6e-05	0.01588	-0.01588
1.1	1.0	1.2	0.171979	3.7e-05	-3.7e-05	0.008113	-0.008113
1.4	1.2	1.6	0.070213	1.5e-05	-1.5e-05	0.003308	-0.003308
1.8	1.6	2.0	0.024796	8e-06	-8e-06	0.001167	-0.001167
2.2	2.0	2.4	0.0099366	4.4e-06	-4.4e-06	0.000467	-0.000467
2.8	2.4	3.2	0.0029975	1.5e-06	-1.5e-06	0.0001407	-0.0001407
3.6	3.2	4.0	0.00077056	6.7e-07	-6.7e-07	3.612e-05	-3.612e-05
4.4	4.0	4.8	0.00024402	3.5e-07	-3.5e-07	1.143e-05	-1.143e-05
5.199999999999999	4.8	5.6	9.0609e-05	1.94e-07	-1.94e-07	4.24e-06	-4.24e-06
6.0	5.6	6.4	3.8438e-05	1.17e-07	-1.17e-07	1.798e-06	-1.798e-06
6.800000000000001	6.4	7.2	1.78328e-05	7.48e-08	-7.48e-08	8.335e-07	-8.335e-07
8.2	7.2	9.2	5.7719e-06	2.38e-08	-2.38e-08	2.696e-07	-2.696e-07
10.2	9.2	11.2	1.52171e-06	1.092e-08	-1.092e-08	7.104e-08	-7.104e-08
12.2	11.2	13.2	5.1369e-07	5.76e-09	-5.76e-09	2.398e-08	-2.398e-08
15.2	13.2	17.2	1.3567e-07	1.745e-09	-1.745e-09	6.342e-09	-6.342e-09
19.2	17.2	21.2	3.3087e-08	7.49e-10	-7.49e-10	1.555e-09	-1.555e-09
23.2	21.2	25.2	1.01372e-08	3.236e-10	-3.236e-10	4.826e-10	-4.826e-10
31.200000000000003	25.2	37.2	1.68816e-09	5.201e-11	-5.201e-11	8.607e-11	-8.607e-11
43.2	37.2	49.2	2.2497e-10	8.75e-12	-8.75e-12	1.375e-11	-1.375e-11
55.2	49.2	61.2	4.4431e-11	1.845e-12	-1.845e-12	2.965e-12	-2.965e-12
71.2	61.2	81.2	8.4116e-12	4.517e-13	-4.517e-13	5.853e-13	-5.853e-13
91.2	81.2	101.2	1.5299e-12	7.32e-14	-7.32e-14	1.102e-13	-1.102e-13
111.2	101.2	121.2	3.9626e-13	1.039e-14	-1.039e-14	2.937e-14	-2.937e-14
141.2	121.2	161.2	8.1866e-14	2.959e-15	-2.959e-15	6.296e-15	-6.296e-15
181.2	161.2	201.2	1.2708e-14	1.097e-15	-1.097e-15	1.018e-15	-1.018e-15

