#: table_doi: 10.17182/hepdata.61787.v1/t1
#: name: Table 1
#: description: The normalized differential primary charged particle cross sections measured at 0.9	 2.76 and 7 TeV centre-of- mass energies.
#Additional systematic error for 0.9 TeV data: +5.1% -4.0%.
#Additional systematic error for 2.76 TeV data: +1.9% -1.9%.
#Additional systematic error for 7.0 TeV data: +3.6% -3.6%.

#: data_file: Table1.yaml
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2SIG/DETARAP/DPT
#: keyword phrases: Inclusive | Double Differential Cross Section | Transverse Momentum Dependence | Proton-Proton Scattering
#: keyword cmenergies: 900.0-7000.0
#: ETARAP			-0.8-0.8
#: RE			P P --> CHARGED X
#: SQRT(S) [GeV]			900.0
#PT [GEV]	PT [GEV] LOW	PT [GEV] HIGH	(1/(2*PI*PT))*D2(SIG)/DETARAP/DPT [MB/GEV**2]	stat +	stat -	sys +	sys -
0.175	0.15	0.2	256.2	0.3	-0.3	20.9	-20.9
0.225	0.2	0.25	198.9	0.2	-0.2	13.2	-13.2
0.275	0.25	0.3	154.9	0.1	-0.1	10.3	-10.3
0.32499999999999996	0.3	0.35	119.4	0.1	-0.1	7.9	-7.9
0.375	0.35	0.4	91.68	0.09	-0.09	6.1	-6.1
0.42500000000000004	0.4	0.45	70.9	0.07	-0.07	4.72	-4.72
0.475	0.45	0.5	54.94	0.06	-0.06	3.65	-3.65
0.525	0.5	0.55	42.71	0.05	-0.05	2.84	-2.84
0.575	0.55	0.6	33.56	0.04	-0.04	2.23	-2.23
0.625	0.6	0.65	26.51	0.04	-0.04	1.76	-1.76
0.675	0.65	0.7	21.06	0.03	-0.03	1.4	-1.4
0.725	0.7	0.75	16.9	0.03	-0.03	1.12	-1.12
0.775	0.75	0.8	13.54	0.02	-0.02	0.9	-0.9
0.825	0.8	0.85	11.0	0.02	-0.02	0.73	-0.73
0.875	0.85	0.9	9.002	0.018	-0.018	0.599	-0.599
0.925	0.9	0.95	7.431	0.016	-0.016	0.494	-0.494
0.975	0.95	1.0	6.098	0.014	-0.014	0.406	-0.406
1.05	1.0	1.1	4.615	0.008	-0.008	0.307	-0.307
1.15	1.1	1.2	3.201	0.006	-0.006	0.213	-0.213
1.25	1.2	1.3	2.27	0.005	-0.005	0.151	-0.151
1.35	1.3	1.4	1.625	0.004	-0.004	0.108	-0.108
1.45	1.4	1.5	1.162	0.003	-0.003	0.077	-0.077
1.55	1.5	1.6	0.8488	0.0028	-0.0028	0.0565	-0.0565
1.65	1.6	1.7	0.6375	0.0024	-0.0024	0.0424	-0.0424
1.75	1.7	1.8	0.4721	0.002	-0.002	0.0314	-0.0314
1.85	1.8	1.9	0.3581	0.0017	-0.0017	0.0238	-0.0238
1.95	1.9	2.0	0.2728	0.0014	-0.0014	0.0181	-0.0181
2.1	2.0	2.2	0.1874	0.0008	-0.0008	0.0125	-0.0125
2.3	2.2	2.4	0.114	0.0006	-0.0006	0.0076	-0.0076
2.5	2.4	2.6	0.07148	0.00046	-0.00046	0.00475	-0.00475
2.7	2.6	2.8	0.04502	0.00034	-0.00034	0.00299	-0.00299
2.9	2.8	3.0	0.02896	0.00028	-0.00028	0.00193	-0.00193
3.1	3.0	3.2	0.01986	0.00021	-0.00021	0.00132	-0.00132
3.3	3.2	3.4	0.01325	0.00016	-0.00016	0.00088	-0.00088
3.5	3.4	3.6	0.008893	0.000125	-0.000125	0.000591	-0.000591
3.7	3.6	3.8	0.006293	0.000102	-0.000102	0.000419	-0.000419
3.9	3.8	4.0	0.004496	8.3e-05	-8.3e-05	0.000299	-0.000299
4.25	4.0	4.5	0.0026	4e-05	-4e-05	0.000173	-0.000173
4.75	4.5	5.0	0.001199	2.5e-05	-2.5e-05	8e-05	-8e-05
5.25	5.0	5.5	0.0006158	1.68e-05	-1.68e-05	4.1e-05	-4.1e-05
5.75	5.5	6.0	0.0003394	1.18e-05	-1.18e-05	2.26e-05	-2.26e-05
6.25	6.0	6.5	0.0001857	8.4e-06	-8.4e-06	1.24e-05	-1.24e-05
6.75	6.5	7.0	0.0001025	6e-06	-6e-06	6.8e-06	-6.8e-06
7.5	7.0	8.0	5.206e-05	2.84e-06	-2.84e-06	3.46e-06	-3.46e-06
8.5	8.0	9.0	2.229e-05	1.75e-06	-1.75e-06	1.48e-06	-1.48e-06
9.5	9.0	10.0	9.721e-06	1.093e-06	-1.093e-06	6.47e-07	-6.47e-07
10.5	10.0	11.0	5.3e-06	7.6e-07	-7.6e-07	3.59e-07	-3.59e-07
11.5	11.0	12.0	3.236e-06	5.74e-07	-5.74e-07	2.19e-07	-2.19e-07
12.5	12.0	13.0	1.825e-06	4.09e-07	-4.09e-07	1.24e-07	-1.24e-07
13.5	13.0	14.0	5.102e-07	2.09e-07	-2.09e-07	3.46e-08	-3.46e-08
14.5	14.0	15.0	6.276e-07	2.228e-07	-2.228e-07	4.27e-08	-4.27e-08
15.5	15.0	16.0	4.19e-07	1.716e-07	-1.716e-07	2.86e-08	-2.86e-08
17.0	16.0	18.0	1.066e-07	6.16e-08	-6.16e-08	7.3e-09	-7.3e-09
19.0	18.0	20.0	8.192e-08	4.732e-08	-4.732e-08	5.68e-09	-5.68e-09
